# 开心输入法 8105 个常用单字词库
# 频率顺序：wordfreq 3.1.1 中文词频；仅保留拼音引擎支持的汉字。
# 权重：按词频名次线性映射到 10000..1，严格降序。
# 格式：汉字<TAB>权重；拼音由引擎自动生成，以保留多音字全部读音。
留	9368
知	9366
罪	9365
股	9364
费	9363
布	9361
情	9360
替	9359
林	9358
英	9356
骂	9355
业	9354
乐	9353
厅	9352
平	9350
愿	9349
歌	9348
猜	9347
船	9345
边	9344
鬼	9343
丢	9342
九	9340
感	9339
猪	9338
血	9337
酒	9335
命	9334
房	9333
破	9332
票	9331
色	9329
藏	9328
输	9327
韩	9326
具	9324
基	9323
气	9322
满	9321
编	9319
轻	9318
首	9317
十	9316
器	9314
圈	9313
归	9312
怪	9311
抱	9310
晚	9308
款	9307
河	9306
草	9305
亲	9303
八	9302
吨	9301
朝	9300
棒	9298
猫	9297
试	9296
课	9295
身	9294
公	9292
戴	9291
托	9290
腿	9289
苏	9287
药	9286
辖	9285
题	9284
哈	9282
圣	9281
射	9280
户	9279
欲	9277
流	9276
虽	9275
诗	9274
铁	9273
陪	9271
鸟	9270
代	9269
停	9268
利	9266
华	9265
古	9264
巴	9263
族	9261
星	9260
治	9259
犯	9258
立	9256
负	9255
饭	9254
鸡	9253
伤	9252
依	9250
吓	9249
唱	9248
嘴	9247
欧	9245
目	9244
质	9243
造	9242
须	9240
准	9239
塔	9238
封	9237
必	9236
直	9234
营	9233
计	9232
专	9231
俄	9229
凭	9228
含	9227
宽	9226
根	9224
港	9223
理	9222
章	9221
职	9219
观	9218
赛	9217
载	9216
借	9215
养	9213
墙	9212
宝	9211
微	9210
搭	9208
杯	9207
树	9206
绝	9205
辆	9203
修	9202
吹	9201
套	9200
尼	9199
急	9197
火	9196
界	9195
社	9194
运	9192
列	9191
剑	9190
压	9189
呈	9187
奥	9186
支	9185
波	9184
纳	9182
贵	9181
院	9180
零	9179
余	9178
例	9176
保	9175
冷	9174
升	9173
库	9171
慢	9170
架	9169
紧	9168
绿	9166
置	9165
联	9164
跨	9163
世	9161
哇	9160
哥	9159
尚	9158
戏	9157
拜	9155
洗	9154
演	9153
空	9152
端	9150
维	9149
致	9148
茶	9147
菜	9145
赴	9144
钟	9143
伊	9142
刀	9141
刘	9139
参	9138
句	9137
广	9136
引	9134
形	9133
板	9132
桥	9131
码	9129
结	9128
考	9127
蓝	9126
解	9124
逃	9123
郡	9122
俩	9121
摆	9120
易	9118
术	9117
税	9116
降	9115
众	9113
剧	9112
右	9111
吻	9110
夫	9108
币	9107
搬	9106
杨	9105
毁	9104
疯	9102
盖	9101
硬	9100
争	9099
何	9097
创	9096
奇	9095
持	9094
步	9092
民	9091
答	9090
背	9089
躺	9087
饿	9086
举	9085
决	9084
商	9083
客	9081
床	9080
恨	9079
排	9078
摸	9076
显	9075
曰	9074
烟	9073
环	9071
祝	9070
证	9069
配	9068
顶	9066
司	9065
害	9064
拖	9063
断	9062
赶	9060
鲁	9059
叶	9058
夜	9057
居	9055
录	9054
纯	9053
脱	9052
谢	9050
谱	9049
货	9048
赵	9047
魔	9046
撞	9044
样	9043
滚	9042
碰	9041
谷	9039
退	9038
额	9037
骑	9036
偷	9034
傻	9033
呆	9032
喊	9031
宫	9029
工	9028
念	9027
批	9026
抽	9025
松	9023
油	9022
牌	9021
盘	9020
翻	9018
莫	9017
购	9016
赞	9015
足	9013
银	9012
价	9011
兽	9010
刷	9008
千	9007
塞	9006
底	9005
插	9004
然	9002
落	9001
逾	9000
顿	8999
怎	8997
源	8996
竟	8995
资	8994
乃	8992
付	8991
志	8990
恩	8989
料	8988
痛	8986
累	8985
认	8984
讯	8983
诺	8981
品	8980
坑	8979
望	8978
核	8976
湖	8975
瞧	8974
精	8973
纸	8971
绑	8970
般	8969
蛋	8968
雨	8967
香	8965
京	8964
历	8963
响	8962
季	8960
爬	8959
狼	8958
田	8957
百	8955
皮	8954
石	8953
笔	8952
签	8951
继	8949
防	8948
兵	8947
妳	8946
监	8944
福	8943
糖	8942
舔	8941
许	8939
青	8938
丁	8937
丝	8936
土	8934
备	8933
弹	8932
搜	8931
摄	8930
旁	8928
洞	8927
湾	8926
烧	8925
甚	8923
略	8922
眼	8921
秀	8920
胜	8918
舞	8917
踢	8916
链	8915
册	8913
凡	8912
划	8911
勒	8910
印	8909
吉	8907
咬	8906
姓	8905
果	8904
汉	8902
登	8901
确	8900
练	8899
补	8897
躲	8896
优	8895
兰	8894
切	8893
屋	8891
恶	8890
愈	8889
控	8888
敌	8886
毒	8885
游	8884
炸	8883
烂	8881
状	8880
简	8879
艾	8878
萨	8876
角	8875
食	8874
农	8873
剩	8872
堂	8870
存	8869
扎	8868
招	8867
拟	8865
熟	8864
胡	8863
虎	8862
赌	8860
临	8859
喂	8858
喔	8857
士	8856
夏	8854
尿	8853
征	8852
混	8851
稳	8849
苦	8848
蛇	8847
译	8846
吐	8844
园	8843
埃	8842
失	8841
寄	8839
整	8838
档	8837
甲	8836
疼	8835
砸	8833
软	8832
采	8831
音	8830
减	8828
善	8827
展	8826
异	8825
影	8823
扔	8822
晒	8821
暨	8820
母	8818
江	8817
汤	8816
沙	8815
灯	8814
爆	8812
素	8811
统	8810
耶	8809
醒	8807
限	8806
隔	8805
雷	8804
冒	8802
吸	8801
增	8800
寺	8799
涨	8798
瓦	8796
移	8795
程	8794
稍	8793
锁	8791
闹	8790
颇	8789
麦	8788
助	8786
姆	8785
守	8784
惹	8783
抗	8781
挖	8780
擦	8779
斗	8778
末	8777
标	8775
邦	8774
唐	8773
娶	8772
富	8770
岭	8769
希	8768
弱	8767
政	8765
木	8764
欠	8763
泡	8762
煮	8760
爽	8759
舰	8758
裔	8757
评	8756
识	8754
贼	8753
闻	8752
齐	8751
俺	8749
告	8748
哎	8747
废	8746
暗	8744
曲	8743
独	8742
盗	8741
贾	8740
距	8738
迁	8737
附	8736
刺	8735
味	8733
唉	8732
始	8731
席	8730
服	8728
